
# OSU MPI Allreduce Latency Test v5.4.0
# Size       Avg Latency(us)
8,4                      82.28
8,8                      68.72
8,16                     68.24
8,32                     70.33
8,64                     71.45
8,128                    74.62
8,256                    77.82
8,512                    87.06
8,1024                  101.89
8,2048                  157.62
8,4096                  161.78
8,8192                  182.03
8,12288                 791.79
8,16384                 884.19
8,20480                 961.49
8,24576                 974.26
8,28672                 988.90
8,32768                 997.06
8,36864                1026.48
8,40960                1051.80
8,45056                1068.85
8,49152                1078.53
8,53248                1077.58
8,57344                1095.55
8,61440                1099.10
8,65536                1110.54
8,69632                1122.15
8,73728                1148.36
8,77824                1150.79
8,81920                1175.13
8,86016                1174.93
8,90112                1188.70
8,94208                1216.24
8,98304                1218.56
8,102400               1233.70
8,106496               1246.23
8,110592               1275.22
8,114688               1282.98
8,118784               1290.14
8,122880               1297.70
8,126976               1319.71
8,131072               1332.52
8,135168               1319.36
8,139264               1347.12
8,143360               1365.56
8,147456               1360.90
8,151552               1382.52
8,155648               1372.26
8,159744               1375.05
8,163840               1392.38
8,167936               1403.49
8,172032               1421.91
8,176128               1424.83
8,180224               1434.76
8,184320               1448.73
8,188416               1480.55
8,192512               1463.45
8,196608               1466.24
8,200704               1479.98
8,204800               1496.35
8,208896               1498.76
8,212992               1502.56
8,217088               1525.22
8,221184               1530.04
8,225280               1558.37
8,229376               1541.56
8,233472               1556.27
8,237568               1558.14
8,241664               1572.73
8,245760               1591.91
8,249856               1612.05
8,253952               1622.14
8,258048               1636.38
8,262144               1639.34
8,266240               1647.25
8,270336               1667.84
8,274432               1687.45
8,278528               1693.70
8,282624               1715.95
8,286720               1704.06
8,290816               1701.63
8,294912               1725.16
8,299008               1725.84
8,303104               1744.32
8,307200               1737.97
8,311296               1753.29
8,315392               1758.35
8,319488               1753.89
8,323584               1766.32
8,327680               1779.30
8,331776               1765.46
8,335872               1776.56
8,339968               1767.57
8,344064               1784.17
8,348160               1786.99
8,352256               1797.01
8,356352               1838.81
8,360448               1845.51
8,364544               1834.41
8,368640               1864.36
8,372736               1879.50
8,376832               1876.55
8,380928               1887.19
8,385024               1896.07
8,389120               1904.53
8,393216               1923.98
8,397312               1922.95
8,401408               1927.47
8,405504               1922.57
8,409600               1943.32
8,413696               1957.80
8,417792               1955.63
8,421888               1951.42
8,425984               1962.38
8,430080               1977.65
8,434176               1981.79
8,438272               2007.06
8,442368               1996.03
8,446464               1986.33
8,450560               2007.61
8,454656               2017.30
8,458752               2071.43
8,462848               2011.49
8,466944               2030.68
8,471040               2032.63
8,475136               2038.07
8,479232               2037.75
8,483328               2048.46
8,487424               2065.99
8,491520               2063.63
8,495616               2074.16
8,499712               2073.01
8,503808               2096.92
8,507904               2111.37
8,512000               2195.11
8,516096               2169.22
8,520192               2160.11
8,524288               3120.97
8,528384               3160.14
8,532480               3175.93
8,536576               3185.98
8,540672               3171.29
8,544768               3200.38
8,548864               3203.56
8,552960               3215.50
8,557056               3229.79
8,561152               3226.84
8,565248               3216.67
8,569344               3228.10
8,573440               3239.41
8,577536               3239.35
8,581632               3244.61
8,585728               3248.70
8,589824               3252.83
8,593920               3275.74
8,598016               3252.19
8,602112               3267.75
8,606208               3291.44
8,610304               3287.16
8,614400               3287.25
8,618496               3276.01
8,622592               3292.86
8,626688               3294.59
8,630784               3294.48
8,634880               3311.82
8,638976               3288.22
8,643072               3319.92
8,647168               3317.76
8,651264               3324.44
8,655360               3322.44
8,659456               3346.66
8,663552               3342.52
8,667648               3336.32
8,671744               3332.20
8,675840               3353.74
8,679936               3360.74
8,684032               3372.11
8,688128               3370.06
8,692224               3370.66
8,696320               3375.46
8,700416               3396.55
8,704512               3384.56
8,708608               3380.84
8,712704               3396.59
8,716800               3387.35
8,720896               3368.46
8,724992               3407.66
8,729088               3433.44
8,733184               3399.02
8,737280               3402.57
8,741376               3425.50
8,745472               3431.05
8,749568               3427.26
8,753664               3409.60
8,757760               3433.12
8,761856               3455.80
8,765952               3470.14
8,770048               3464.72
8,774144               3492.55
8,778240               3486.46
8,782336               3489.58
8,786432               3493.92
8,790528               3503.30
8,794624               3493.19
8,798720               3487.38
8,802816               3533.98
8,806912               3537.24
8,811008               3525.42
8,815104               3538.46
8,819200               3553.14
8,823296               3572.01
8,827392               3555.15
8,831488               3562.15
8,835584               3565.58
8,839680               3574.63
8,843776               3585.48
8,847872               3596.02
8,851968               3628.62
8,856064               3599.81
8,860160               3621.01
8,864256               3615.67
8,868352               3624.84
8,872448               3656.73
8,876544               3629.70
8,880640               3632.27
8,884736               3662.06
8,888832               3665.87
8,892928               3693.54
8,897024               3696.31
8,901120               3686.98
8,905216               3719.17
8,909312               3752.87
8,913408               3731.00
8,917504               3736.92
8,921600               3744.79
8,925696               3789.35
8,929792               3787.47
8,933888               3774.20
8,937984               3797.11
8,942080               3806.96
8,946176               3812.64
8,950272               3833.82
8,954368               3841.88
8,958464               3833.10
8,962560               3849.81
8,966656               3830.47
8,970752               3849.03
8,974848               3868.50
8,978944               3878.25
8,983040               3887.45
8,987136               3912.19
8,991232               3879.63
8,995328               3907.21
8,999424               3931.62
8,1003520              3922.63
8,1007616              3948.18
8,1011712              3955.68
8,1015808              3970.70
8,1019904              4023.32
8,1024000              4028.15
8,1028096              4024.18
8,1032192              4375.23
8,1036288              4581.58
8,1040384              4677.92
8,1044480              4657.12
8,1048576              4678.91
